data; valor
30/10/2019 19:10:00;0
30/10/2019 19:11:00;0
30/10/2019 19:13:00;0
30/10/2019 19:14:00;0
30/10/2019 19:15:00;0
30/10/2019 19:16:00;0
30/10/2019 19:17:00;0
30/10/2019 19:19:00;0
30/10/2019 19:20:00;0
30/10/2019 19:20:12;0
30/10/2019 19:20:19;0
30/10/2019 19:22:00;0
30/10/2019 19:22:24;0
30/10/2019 19:22:25;175,9173
30/10/2019 19:22:26;338,2508
30/10/2019 19:22:27;475,9815
30/10/2019 19:22:28;594,2788
30/10/2019 19:22:29;704,9354
30/10/2019 19:22:30;797,5261
30/10/2019 19:22:31;880,0493
30/10/2019 19:22:32;952,8369
30/10/2019 19:22:33;1.012,78
30/10/2019 19:22:34;1.061,17
30/10/2019 19:22:35;1.099,30
30/10/2019 19:22:36;1.130,41
30/10/2019 19:22:37;1.154,63
30/10/2019 19:22:38;1.176,52
30/10/2019 19:22:39;1.194,84
30/10/2019 19:22:40;1.211,45
30/10/2019 19:22:41;1.224,31
30/10/2019 19:22:42;1.234,05
30/10/2019 19:22:43;1.243,21
30/10/2019 19:22:44;1.249,34
30/10/2019 19:22:48;1.263,52
30/10/2019 19:22:49;1.267,36
30/10/2019 19:22:50;1.270,80
30/10/2019 19:22:51;1.273,38
30/10/2019 19:22:52;1.275,03
30/10/2019 19:22:56;1.276,67
30/10/2019 19:22:57;1.278,50
30/10/2019 19:23:05;1.280,20
30/10/2019 19:23:16;1.281,19
30/10/2019 19:23:20;1.279,06
30/10/2019 19:23:25;1.282,11
30/10/2019 19:23:30;1.280,23
30/10/2019 19:23:34;1.282,01
30/10/2019 19:23:36;1.281,18
30/10/2019 19:23:37;1.282,23
30/10/2019 19:23:39;1.281,59
30/10/2019 19:23:43;1.284,57
30/10/2019 19:23:44;1.282,47
30/10/2019 19:23:47;1.284,25
30/10/2019 19:23:57;1.280,05
30/10/2019 19:23:59;1.280,65
30/10/2019 19:24:00;1.279,49
30/10/2019 19:24:04;1.280,56
30/10/2019 19:24:05;1.279,68
30/10/2019 19:24:06;1.281,20
30/10/2019 19:24:07;1.280,38
30/10/2019 19:24:10;1.281,73
30/10/2019 19:24:11;1.273,37
30/10/2019 19:24:12;1.195,20
30/10/2019 19:24:13;1.060,26
30/10/2019 19:24:14;922,9036
30/10/2019 19:24:15;796,4093
30/10/2019 19:24:16;658,5423
30/10/2019 19:24:17;522,6359
