timestamp;value
30/10/2019 22:09:00;846.3542
30/10/2019 22:10:00;846.3542
30/10/2019 22:11:00;846.7882
30/10/2019 22:12:00;846.3542
30/10/2019 22:13:00;846.3542
30/10/2019 22:14:00;846.3542
30/10/2019 22:15:00;846.3542
30/10/2019 22:16:00;846.3542
30/10/2019 22:16:16;846.3542
30/10/2019 22:16:17;921.007
30/10/2019 22:17:21;920.5729
30/10/2019 22:18:25;920.5729
30/10/2019 22:19:35;920.5729
30/10/2019 22:20:47;920.5729
30/10/2019 22:22:00;921.007
30/10/2019 22:23:50;921.875
30/10/2019 22:24:51;921.007
30/10/2019 22:25:53;921.007
30/10/2019 22:27:00;921.875
30/10/2019 22:28:00;921.875
30/10/2019 22:29:00;921.875
30/10/2019 22:30:00;921.875
30/10/2019 22:31:00;921.875
30/10/2019 22:31:49;960.9375
30/10/2019 22:32:57;960.9375
30/10/2019 22:34:00;961.3716
30/10/2019 22:35:00;961.3716
30/10/2019 22:36:00;961.3716
30/10/2019 22:37:00;960.9375
30/10/2019 22:38:12;960.9375
30/10/2019 22:39:20;961.3716
30/10/2019 22:40:20;961.3716
30/10/2019 22:41:22;960.9375
30/10/2019 22:42:26;960.9375
30/10/2019 22:43:40;960.9375
30/10/2019 22:44:44;961.3716
30/10/2019 22:45:45;960.9375
30/10/2019 22:46:45;961.3716
30/10/2019 22:47:17;961.3716
30/10/2019 22:47:18;1042.54
30/10/2019 22:48:19;1043.40
30/10/2019 22:49:19;1043.40
30/10/2019 22:50:24;1043.40
30/10/2019 22:51:25;1043.40
30/10/2019 22:52:29;1043.40
30/10/2019 22:53:37;1043.40
30/10/2019 22:54:43;1043.40
30/10/2019 22:56:00;1042.54
30/10/2019 22:57:06;1043.40
30/10/2019 22:58:11;1043.40
30/10/2019 22:59:15;1043.40
30/10/2019 23:00:16;1042.54
30/10/2019 23:01:51;1043.40
30/10/2019 23:02:23;1043.40
30/10/2019 23:02:24;1088.11
30/10/2019 23:03:24;1088.11
30/10/2019 23:04:25;1088.11
30/10/2019 23:05:27;1088.98
30/10/2019 23:06:27;1088.98
30/10/2019 23:07:31;1088.98
30/10/2019 23:08:32;1088.11
30/10/2019 23:09:32;1088.98
30/10/2019 23:10:38;1088.11
30/10/2019 23:11:39;1088.11
30/10/2019 23:12:40;1088.98
30/10/2019 23:13:42;1088.11
30/10/2019 23:14:45;1088.11
30/10/2019 23:15:45;1088.11
30/10/2019 23:16:58;1088.11
30/10/2019 23:18:00;1088.98
30/10/2019 23:19:01;1088.11
30/10/2019 23:20:01;1088.98
30/10/2019 23:20:55;1088.98
30/10/2019 23:20:56;1145.83
30/10/2019 23:22:00;1145.83
30/10/2019 23:23:01;1145.40
30/10/2019 23:24:06;1145.40
30/10/2019 23:25:08;1145.83
30/10/2019 23:26:13;1146.27
30/10/2019 23:27:33;1145.40
30/10/2019 23:28:35;1145.40
30/10/2019 23:29:37;1145.40
30/10/2019 23:30:40;1145.40
30/10/2019 23:31:43;1145.40
30/10/2019 23:32:44;1145.40
30/10/2019 23:33:45;1145.40
30/10/2019 23:34:37;1175.78
30/10/2019 23:35:43;1174.91
30/10/2019 23:37:00;1175.78
30/10/2019 23:38:00;1174.91
30/10/2019 23:39:00;1175.78
30/10/2019 23:40:03;1176.22
30/10/2019 23:41:08;1176.22
30/10/2019 23:42:26;1176.22
30/10/2019 23:43:32;1176.22
30/10/2019 23:44:34;1176.22
30/10/2019 23:45:46;1176.22
30/10/2019 23:46:52;1176.22
30/10/2019 23:47:53;1175.78
30/10/2019 23:48:54;1175.78
30/10/2019 23:49:32;1175.78
30/10/2019 23:49:33;1121.96
30/10/2019 23:50:34;1121.96
30/10/2019 23:51:36;1122.40
30/10/2019 23:52:38;1121.96
30/10/2019 23:53:41;1122.40
30/10/2019 23:54:41;1122.40
30/10/2019 23:55:46;1121.96
30/10/2019 23:56:48;1121.96
30/10/2019 23:57:48;1122.40
30/10/2019 23:58:50;1122.40
30/10/2019 23:59:51;1121.96
31/10/2019 00:00:52;1121.96
31/10/2019 00:01:54;1122.40
31/10/2019 00:02:58;1122.40
31/10/2019 00:04:00;1121.96
31/10/2019 00:04:58;1121.96
31/10/2019 00:04:59;1212.67
31/10/2019 00:06:00;1211.81
31/10/2019 00:07:00;1213.11
31/10/2019 00:08:00;1212.67
31/10/2019 00:09:00;1212.67
31/10/2019 00:10:00;1211.81
31/10/2019 00:11:00;1212.67
31/10/2019 00:12:01;1212.67
31/10/2019 00:13:02;1211.81
31/10/2019 00:14:09;1211.81
31/10/2019 00:15:17;1211.81
31/10/2019 00:16:20;1212.67
31/10/2019 00:17:21;1212.67
31/10/2019 00:19:00;1212.67
31/10/2019 00:20:00;1187.93
31/10/2019 00:21:00;1188.80
31/10/2019 00:22:00;1187.93
31/10/2019 00:23:00;1187.93
31/10/2019 00:24:01;1188.80
31/10/2019 00:25:01;1188.80
31/10/2019 00:26:01;1188.80
